Source,Region,PTT,Deploy_Date,y,x
Lamont,GoM,142658,9/27/17,NA,NA
Lamont,GoM,142659,11/3/17,NA,NA
Lamont,GoM,161459,6/22/17,NA,NA
Lamont,GoM,172677,6/24/19,NA,NA
Lamont,GoM,175692,6/14/19,NA,NA
Fuentes,GoM,159774,5/11/16,28.84119,-82.74571
Fuentes,GoM,159776,5/6/16,28.84375,-82.76128
Fuentes,GoM,159778,5/7/16,28.81612,-82.77038
Fuentes,GoM,159781,5/6/16,28.84375,-82.76128
Fuentes,GoM,159783,5/7/16,28.81612,-82.77038
Fuentes,GoM,169267,5/2/17 12:32,25.69267,-79.27026
Fuentes,GoM,169268,5/2/17 14:00,25.69267,-79.27026
Fuentes,GoM,169269,5/2/17 14:32,25.69267,-79.27026
Fuentes,GoM,169270,5/3/17 13:06,24.74358,79.24646
Fuentes,GoM,169271,5/3/17 12:51,24.74358,79.24646
Fuentes,GoM,169272,5/3/17 13:06,24.74358,79.24646
Fuentes,GoM,169273,5/3/17 14:31,24.74358,79.24646
Fuentes,GoM,169274,5/3/17 17:00,24.74358,79.24646
Fuentes,Brazil,195967,12/23/19 16:44,-3.85206,-32.44694
Fuentes,Brazil,205537,12/2/20 11:07,-3.85145,-32.44504
Fuentes,Brazil,205538,12/2/20 16:25,-3.85276,-32.44738
Fuentes,Brazil,205539,12/29/20 16:51,-3.87267,-32.43221
Fuentes,Brazil,205540,1/3/21 7:51,-3.872841,-32.431967
Fuentes,Brazil,205541,1/3/21 10:20,-3.873174,-32.432624
Fuentes,Brazil,205542,1/11/21 17:31,-3.87229,-32.43484
Fuentes,Brazil,205543,1/11/21 17:33,-3.87205,-32.4351
Fuentes,Brazil,205544,1/11/21 17:34,-3.87196,-32.43518
Fuentes,Brazil,160104,5/20/16,-25.479,-48.43
Fuentes,Brazil,160105_1,5/22/16,-25.48,-48.425
Fuentes,Brazil,160106,5/24/16,-25.544,-48.309
Fuentes,Brazil,160107,5/27/16,-25.558,-48.319
Fuentes,Brazil,160108,5/26/16,-25.544,-48.309
Domit,Brazil,161638,3/18/18,-25.485,-48.42
Domit,Brazil,161639,3/21/17,-25.473,-48.43
Domit,Brazil,161639,NA,NA,NA
Domit,Brazil,161640,2/21/17,-25.476,-48.424
Domit,Brazil,161641,10/1/16,-25.482,-48.434
Domit,Brazil,161642,9/29/16,-25.491,-48.435
Domit,Brazil,161643,3/21/17,-25.542,-48.452
Domit,Brazil,161644,9/28/16,-25.493,-48.431
Domit,Brazil,165364,10/1/16,-25.55,-48.395
Domit,Brazil,165365,2/17/17,-25.469,-48.434
Domit,Brazil,165366,10/3/16,-25.475,-48.427
Domit,Brazil,165367,2/23/17,-25.528,-48.399
Domit,Brazil,181925,8/29/19,-25.492,-48.432
Domit,Brazil,181926,8/29/19,-25.495,-48.435
Sasso,GoM,142708,6/2/16,28.656,-82.717