Source,Ptt,Region,Age,CCL_cm
Fuentes,159774,GoM,Juv,37.8
Fuentes,159776,GoM,Juv,34.6
Fuentes,159778,GoM,Juv,34.3
Fuentes,159781,GoM,Juv,35.3
Fuentes,159783,GoM,Juv,34.9
Fuentes,169267,GoM,Juv,59.1
Fuentes,169268,GoM,Juv,41.9
Fuentes,169269,GoM,Juv,53.2
Fuentes,169270,GoM,Juv,56.2
Fuentes,169271,GoM,Juv,42.6
Fuentes,169272,GoM,Juv,41
Fuentes,169273,GoM,Juv,40
Fuentes,169274,GoM,Juv,54.1
Fuentes,160104,Brazil,Juv,42.2
Fuentes,160105_1,Brazil,Juv,36.5
Fuentes,160105_2,Brazil,Juv,NA
Fuentes,160106,Brazil,Juv,34.5
Fuentes,160107,Brazil,Juv,31.3
Fuentes,160108,Brazil,Juv,34.8
Fuentes,195967,Brazil,Adult,106
Fuentes,205537,Brazil,Adult,104.4
Fuentes,205538,Brazil,Adult,99.2
Fuentes,205539,Brazil,Adult,101.3
Fuentes,205540,Brazil,Adult,103.4
Fuentes,205541,Brazil,Adult,100
Fuentes,205542,Brazil,Adult,102.8
Fuentes,205543,Brazil,Adult,101.5
Fuentes,205544,Brazil,Adult,102.1
Fuentes,226066,Brazil,Adult,108.1
Fuentes,226067,Brazil,Adult,96
Fuentes,226068,Brazil,Adult,93
Fuentes,226069,Brazil,Adult,108.3
Fuentes,226070,Brazil,Adult,103.2
Fuentes,226071,Brazil,Adult,102.5
Fuentes,226072,Brazil,Adult,103.5
Fuentes,226073,Brazil,Adult,104.7
Fuentes,41587,Brazil,Adult,106
Fuentes,41588,Brazil,Adult,98
Fuentes,41614,Brazil,Adult,92
Lamont,104833,GoM,Juv,41.7
Lamont,142658,GoM,Juv,41.5
Lamont,142659,GoM,Juv,37.9
Lamont,161459,GoM,Adult,95.6
Lamont,161466,GoM,Adult,106
Lamont,172677,GoM,Adult,83.5
Lamont,172678,GoM,Juv,54.5
Lamont,175692,GoM,Adult,95.3
Lamont,181790,GoM,Juv,42
Lamont,181796,GoM,Adult,104.5
Lamont,181797,GoM,Adult,101.9
Lamont,181798,GoM,Adult,101.8
Lamont,181800,GoM,Adult,95.5
Lamont,181802,GoM,Adult,101.4
Lamont,181803,GoM,Adult,102.7
Lamont,181805,GoM,Adult,91
Lamont,181806,GoM,Adult,106.7
Lamont,181807,GoM,Adult,101
Marshall,135131,Qatar,Juv,35.1
Marshall,135132,Qatar,Juv,31.7
Marshall,135133,Qatar,Juv,34.4
Marshall,135134,Qatar,Juv,39.7
Marshall,135135,Qatar,Juv,NA
Marshall,135136,Qatar,Juv,35.2
Marshall,135138,Qatar,Juv,30.1
Marshall,135139,Qatar,Juv,NA
Marshall,144320,Qatar,Juv,43
Marshall,144321,Qatar,Juv,27.8
Sasso,128352,GoM,Juv,51.858
Sasso,128355,GoM,Juv,62.258
Sasso,132008,GoM,Juv,65.482
Sasso,132010,GoM,Juv,49.674
Sasso,142698,GoM,Juv,54.77
Sasso,142699,GoM,Juv,66.834
Sasso,142700,GoM,Juv,54.874
Sasso,142702,GoM,Adult,106.3
Sasso,142703,GoM,Adult,96.5
Sasso,142706,GoM,Juv,64.65
Sasso,142708,GoM,Juv,61.01
Sasso,142710,GoM,Juv,62.466
Sasso,142713,GoM,Adult,94.5
Sasso,162055,GoM,Juv,38.026
Sasso,162066,GoM,Adult,106.2
Sasso,162067,GoM,Adult,91.5
Sasso,162068,GoM,Adult,96.5
Sasso,162069,GoM,Adult,95.2
Sasso,162661,GoM,Adult,90.5
Domit,161638,Brazil,Juv,40.2
Domit,161639,Brazil,Juv,44.2
Domit,161640,Brazil,Juv,36.4
Domit,161641,Brazil,Juv,39.4
Domit,161642,Brazil,Juv,30
Domit,161643,Brazil,Juv,41
Domit,161644,Brazil,Juv,39.2
Domit,165364,Brazil,Juv,41.1
Domit,165365,Brazil,Juv,39.7
Domit,165366,Brazil,Juv,37.4
Domit,165367,Brazil,Juv,38.5
Domit,181925,Brazil,Juv,34.8
Domit,181926,Brazil,Juv,36.5